Year,Country,ByTeslaCount,ByOtherPartyCount,ByUndeterminedCount,ByInanimateObjectCount,PedestrianInvolvedCount,MotorcycleInvolvedCount,AutoPilotOnCount
2018,USA,1,0,0,0,0,0,0
2018,Japan,1,0,0,0,0,0,0
2018,Netherlands,1,0,0,0,0,0,0
2018,USA,0,0,0,1,0,0,0
2018,USA,1,0,0,0,0,0,0
2018,Switzerland,1,0,0,0,0,0,0
2018,USA,1,0,0,0,0,0,0
2018,USA,1,0,0,0,0,0,1
2018,Norway,1,0,0,0,0,0,0
2018,China,1,0,0,0,1,0,0
2018,Japan,1,0,0,0,0,1,0
2018,USA,1,0,0,0,0,0,0
2017,Switzerland,1,0,0,0,0,0,0
2017,Australia,1,0,0,0,1,0,0
2017,USA,1,0,0,0,0,0,0
2017,USA,1,0,0,0,0,1,0
2017,USA,0,1,0,0,0,0,0
2017,USA,1,0,0,0,0,0,0
2017,USA,0,0,1,0,0,0,0
2017,USA,1,0,0,0,0,0,0
2017,Norway,1,0,0,0,0,0,0
2017,USA,1,0,0,0,1,0,0
2017,Germany,0,0,1,0,0,0,0
2016,USA,1,0,0,0,1,0,0
2016,USA,0,0,1,0,0,0,0
2016,USA,0,0,0,1,0,0,0
2016,USA,0,0,1,0,0,0,0
2016,USA,1,0,0,0,0,1,0
2016,Netherlands,1,0,0,0,0,0,0
2016,USA,0,1,0,0,0,1,0
2016,USA,1,0,0,0,0,0,0
2016,USA,1,0,0,0,1,0,0
2016,USA,0,1,0,0,0,0,0
2016,USA,0,1,0,0,0,0,0
2016,USA,1,0,0,0,0,0,1
2016,USA,0,0,1,0,1,0,0
2016,USA,0,1,0,0,0,0,0
2016,China,1,0,0,0,0,0,1
2015,USA,1,0,0,0,0,0,0
2015,Canada,0,0,0,1,0,0,0
2015,USA,1,0,0,0,1,0,0
2015,USA,1,0,0,0,0,0,0
2015,USA,1,0,0,0,0,0,0
2014,USA,1,0,0,0,0,0,0
2014,USA,1,0,0,0,0,1,0
2014,USA,1,0,0,0,0,0,0
2014,USA,1,0,0,0,0,0,0
2013,USA,1,0,0,0,1,0,0
2013,USA,1,0,0,0,0,0,0
